Store,Date,Dept,Weekly_Sales,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
45,2010-12-03,9,11431.73,B,118221,40.93,3.046,0,0,0,0,0,182.6676154,8.724,false,false,false,false,false,49,12,2010
45,2010-12-10,9,10444.69,B,118221,30.54,3.109,0,0,0,0,0,182.5519538,8.724,false,false,false,false,false,50,12,2010
45,2010-12-17,9,12109.03,B,118221,30.51,3.14,0,0,0,0,0,182.517732,8.724,false,false,false,false,false,51,12,2010
45,2010-12-24,9,21984.86,B,118221,30.59,3.141,0,0,0,0,0,182.54459,8.724,false,false,false,false,false,52,12,2010
45,2010-12-31,9,7643.14,B,118221,29.67,3.179,0,0,0,0,0,182.5714479,8.724,true,false,false,false,true,1,12,2010
45,2011-01-07,9,7843.77,B,118221,34.32,3.193,0,0,0,0,0,182.5983058,8.549,false,false,false,false,false,2,01,2011
45,2011-01-14,9,6790.94,B,118221,24.78,3.205,0,0,0,0,0,182.6585782,8.549,false,false,false,false,false,3,01,2011
45,2011-01-21,9,7338.28,B,118221,30.55,3.229,0,0,0,0,0,182.9193368,8.549,false,false,false,false,false,4,01,2011
45,2011-01-28,9,6674.0,B,118221,24.05,3.237,0,0,0,0,0,183.1800955,8.549,false,false,false,false,false,5,01,2011
45,2011-02-04,9,7545.65,B,118221,28.73,3.231,0,0,0,0,0,183.4408542,8.549,false,false,false,false,false,6,02,2011
45,2011-02-11,9,9637.44,B,118221,30.3,3.239,0,0,0,0,0,183.7016129,8.549,true,true,false,false,false,7,02,2011
45,2011-02-18,9,11381.72,B,118221,40.7,3.245,0,0,0,0,0,183.9371353,8.549,false,false,false,false,false,8,02,2011
45,2011-02-25,9,10751.99,B,118221,35.78,3.274,0,0,0,0,0,184.1625632,8.549,false,false,false,false,false,9,02,2011
45,2011-03-04,9,11744.09,B,118221,38.65,3.433,0,0,0,0,0,184.3879911,8.549,false,false,false,false,false,10,03,2011
45,2011-03-11,9,11504.05,B,118221,45.01,3.582,0,0,0,0,0,184.613419,8.549,false,false,false,false,false,11,03,2011
45,2011-03-18,9,14128.41,B,118221,46.66,3.631,0,0,0,0,0,184.809719,8.549,false,false,false,false,false,12,03,2011
45,2011-03-25,9,14174.49,B,118221,41.76,3.625,0,0,0,0,0,184.9943679,8.549,false,false,false,false,false,13,03,2011
45,2011-04-01,9,17197.11,B,118221,37.27,3.638,0,0,0,0,0,185.1790167,8.521,false,false,false,false,false,14,04,2011
45,2011-04-08,9,19714.55,B,118221,48.71,3.72,0,0,0,0,0,185.3636656,8.521,false,false,false,false,false,15,04,2011
45,2011-04-15,9,22296.45,B,118221,53.69,3.821,0,0,0,0,0,185.5339821,8.521,false,false,false,false,false,16,04,2011
45,2011-04-22,9,16813.3,B,118221,53.04,3.892,0,0,0,0,0,185.6684673,8.521,false,false,false,false,false,17,04,2011
45,2011-04-29,9,16743.8,B,118221,66.18,3.962,0,0,0,0,0,185.8029526,8.521,false,false,false,false,false,18,04,2011
45,2011-05-06,9,18017.24,B,118221,58.21,4.046,0,0,0,0,0,185.9374378,8.521,false,false,false,false,false,19,05,2011
45,2011-05-13,9,18164.76,B,118221,60.38,4.066,0,0,0,0,0,186.0719231,8.521,false,false,false,false,false,20,05,2011
45,2011-05-20,9,16721.47,B,118221,62.28,4.062,0,0,0,0,0,185.9661154,8.521,false,false,false,false,false,21,05,2011
45,2011-05-27,9,20112.63,B,118221,69.7,3.985,0,0,0,0,0,185.8603077,8.521,false,false,false,false,false,22,05,2011
45,2011-06-03,9,23734.02,B,118221,76.38,3.922,0,0,0,0,0,185.7545,8.521,false,false,false,false,false,23,06,2011
45,2011-06-10,9,19121.22,B,118221,73.88,3.881,0,0,0,0,0,185.6486923,8.521,false,false,false,false,false,24,06,2011
45,2011-06-17,9,20464.04,B,118221,69.32,3.842,0,0,0,0,0,185.6719333,8.521,false,false,false,false,false,25,06,2011
45,2011-06-24,9,21589.15,B,118221,74.85,3.804,0,0,0,0,0,185.7919609,8.521,false,false,false,false,false,26,06,2011
